,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
2167,NLD5280000NLD00021052800000008802168,NLD,1.0,15.75,2.0,6,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,513.6392,555.7018,612.5643,556.4808,540.902
2168,NLD5280000NLD00021052800000008802169,NLD,2.0,16.08,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,559.4407,572.6827,602.2823,572.6827,597.6087
2169,NLD5280000NLD00021052800000008802170,NLD,1.0,15.42,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,636.5555,617.861,629.5451,673.1656,670.8288
2170,NLD5280000NLD00021052800000008802171,NLD,2.0,15.33,2.0,6,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,594.4929,523.6096,536.8515,516.5992,568.788
2171,NLD5280000NLD00021052800000008802172,NLD,1.0,15.83,2.0,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,469.084,459.7367,431.695,462.8525,482.3259
2172,NLD5280000NLD00021052800000008802173,NLD,2.0,15.5,2.0,6,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,540.5125,566.2175,535.8389,497.671,514.0287
2173,NLD5280000NLD00021052800000008802174,NLD,1.0,16.08,2.0,6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,651.4332,672.4646,655.3279,675.5803,635.8545
2174,NLD5280000NLD00021052800000008802175,NLD,2.0,15.58,2.0,6,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,579.1478,529.2958,583.0425,579.9268,567.4638
2175,NLD5280000NLD00021052800000008802176,NLD,1.0,15.83,2.0,6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,623.0799,623.8589,633.2061,619.1852,633.985
2176,NLD5280000NLD00021052800000008802177,NLD,2.0,15.83,2.0,6,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,601.036,638.425,663.351,613.499,636.8671
